"noun","cxn","event_type","PhoneSyll","NumPhones","SumSylls","PhonVCV","InitialPhoneme","InitialSyll","SonorityScale","SonorityScaleRank","SonoritySimpleRank","SonoritySimple"
"coraggio","parasynthesis_caus","causative","ko.rag.go",7,3,"CVCVGGV","k","CV","plosive",7,3,"obstruent"
"coraggio","farsi_LVC","inchoative","ko.rag.go",7,3,"CVCVGGV","k","CV","plosive",7,3,"obstruent"
"coraggio","fare_LVC","causative","ko.rag.go",7,3,"CVCVGGV","k","CV","plosive",7,3,"obstruent"
"coraggio","mettere_LVC","causative","ko.rag.go",7,3,"CVCVGGV","k","CV","plosive",7,3,"obstruent"
"coraggio","avere_LVC","stative","ko.rag.go",7,3,"CVCVGGV","k","CV","plosive",7,3,"obstruent"
"coraggio","dare_LVC","causative","ko.rag.go",7,3,"CVCVGGV","k","CV","plosive",7,3,"obstruent"
"cordoglio","sentire_LVC","stative","kor.dOL.Lo",8,3,"CVCCVGGV","k","CVC","plosive",7,3,"obstruent"
"desiderio","sentire_LVC","stative","de.si.dE.rjo",9,4,"CVCVCVCCV","d","CV","plosive",7,3,"obstruent"
"desiderio","provare_LVC","stative","de.si.dE.rjo",9,4,"CVCVCVCCV","d","CV","plosive",7,3,"obstruent"
"desiderio","avere_LVC","stative","de.si.dE.rjo",9,4,"CVCVCVCCV","d","CV","plosive",7,3,"obstruent"
"diffidenza","provare_LVC","stative","dif.fi.dEn.za",10,4,"CVGGVCVCCV","d","CVG","plosive",7,3,"obstruent"
"diffidenza","avere_LVC","stative","dif.fi.dEn.za",10,4,"CVGGVCVCCV","d","CVG","plosive",7,3,"obstruent"
"disagio","sentire_LVC","stative","di.sa.go",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"disagio","dare_LVC","causative","di.sa.go",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"disagio","provare_LVC","stative","di.sa.go",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"disagio","avere_LVC","stative","di.sa.go",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"disgusto","avere_LVC","stative","dis.Gus.to",8,3,"CVCCVCCV","d","CVC","plosive",7,3,"obstruent"
"disgusto","provare_LVC","stative","dis.Gus.to",8,3,"CVCCVCCV","d","CVC","plosive",7,3,"obstruent"
"disgusto","conversion_caus","causative","dis.Gus.to",8,3,"CVCCVCCV","d","CVC","plosive",7,3,"obstruent"
"disgusto","conversion_si","inchoative","dis.Gus.to",8,3,"CVCCVCCV","d","CVC","plosive",7,3,"obstruent"
"dolore","fare_LVC","causative","do.lo.re",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"dolore","avere_LVC","stative","do.lo.re",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"dolore","dare_LVC","causative","do.lo.re",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"dolore","parasynthesis_caus","causative","do.lo.re",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"dolore","provare_LVC","stative","do.lo.re",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"dolore","sentire_LVC","stative","do.lo.re",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"dolore","parasynthesis_si","inchoative","do.lo.re",6,3,"CVCVCV","d","CV","plosive",7,3,"obstruent"
"dubbio","essere_in_LVC","stative","dub.bjo",6,2,"CVGGCV","d","CVG","plosive",7,3,"obstruent"
"eccitazione","provare_LVC","stative","ec.ci.taz.zjo.ne",12,5,"VGGVCVGGCVCV","e","VG","vowel",1,1,"vowel"
"emozione","sentire_LVC","stative","e.moz.zjo.ne",9,4,"VCVGGCVCV","e","V","vowel",1,1,"vowel"
"emozione","conversion_si","inchoative","e.moz.zjo.ne",9,4,"VCVGGCVCV","e","V","vowel",1,1,"vowel"
"emozione","provare_LVC","stative","e.moz.zjo.ne",9,4,"VCVGGCVCV","e","V","vowel",1,1,"vowel"
"emozione","dare_LVC","causative","e.moz.zjo.ne",9,4,"VCVGGCVCV","e","V","vowel",1,1,"vowel"
"emozione","conversion_caus","causative","e.moz.zjo.ne",9,4,"VCVGGCVCV","e","V","vowel",1,1,"vowel"
"emozione","avere_LVC","stative","e.moz.zjo.ne",9,4,"VCVGGCVCV","e","V","vowel",1,1,"vowel"
"empatia","provare_LVC","stative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"empatia","avere_LVC","stative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"empatia","suffixation_stat","stative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"entusiasmo","dare_LVC","causative","en.tu.sjas.mo",10,4,"VCCVCCVCCV","e","VC","vowel",1,1,"vowel"
"entusiasmo","conversion_caus","causative","en.tu.sjas.mo",10,4,"VCCVCCVCCV","e","VC","vowel",1,1,"vowel"
"entusiasmo","avere_LVC","stative","en.tu.sjas.mo",10,4,"VCCVCCVCCV","e","VC","vowel",1,1,"vowel"
"entusiasmo","mettere_LVC","causative","en.tu.sjas.mo",10,4,"VCCVCCVCCV","e","VC","vowel",1,1,"vowel"
"entusiasmo","conversion_si","inchoative","en.tu.sjas.mo",10,4,"VCCVCCVCCV","e","VC","vowel",1,1,"vowel"
"estasi","andare_in_LVC","inchoative","Es.ta.si",6,3,"VCCVCV","E","VC","vowel",1,1,"vowel"
"estasi","essere_in_LVC","stative","Es.ta.si",6,3,"VCCVCV","E","VC","vowel",1,1,"vowel"
"euforia","dare_LVC","causative","ew.fo.ri.a",7,4,"VCCVCVV","e","VC","vowel",1,1,"vowel"
"euforia","suffixation_caus","causative","ew.fo.ri.a",7,4,"VCCVCVV","e","VC","vowel",1,1,"vowel"
"fastidio","avere_LVC","stative","fas.ti.djo",8,3,"CVCCVCCV","f","CVC","fricative",5,3,"obstruent"
"fastidio","sentire_LVC","stative","fas.ti.djo",8,3,"CVCCVCCV","f","CVC","fricative",5,3,"obstruent"
"fastidio","dare_LVC","causative","fas.ti.djo",8,3,"CVCCVCCV","f","CVC","fricative",5,3,"obstruent"
"fastidio","fare_LVC","causative","fas.ti.djo",8,3,"CVCCVCCV","f","CVC","fricative",5,3,"obstruent"
"fastidio","parasynthesis_caus","causative","fas.ti.djo",8,3,"CVCCVCCV","f","CVC","fricative",5,3,"obstruent"
"fastidio","parasynthesis_si","inchoative","fas.ti.djo",8,3,"CVCCVCCV","f","CVC","fricative",5,3,"obstruent"
"fastidio","provare_LVC","stative","fas.ti.djo",8,3,"CVCCVCCV","f","CVC","fricative",5,3,"obstruent"
"fiducia","avere_LVC","stative","fi.du.ca",6,3,"CVCVCV","f","CV","fricative",5,3,"obstruent"
"fiducia","mettere_LVC","causative","fi.du.ca",6,3,"CVCVCV","f","CV","fricative",5,3,"obstruent"
"fiducia","provare_LVC","stative","fi.du.ca",6,3,"CVCVCV","f","CV","fricative",5,3,"obstruent"
"fiducia","prendere_LVC","inchoative","fi.du.ca",6,3,"CVCVCV","f","CV","fricative",5,3,"obstruent"
"fiducia","dare_LVC","causative","fi.du.ca",6,3,"CVCVCV","f","CV","fricative",5,3,"obstruent"
"frenesia","essere_in_LVC","stative","fre.ne.si.a",8,4,"CCVCVCVV","f","CCV","fricative",5,3,"obstruent"
"frenesia","andare_in_LVC","inchoative","fre.ne.si.a",8,4,"CCVCVCVV","f","CCV","fricative",5,3,"obstruent"
"furia","andare_in_LVC","inchoative","fu.rja",5,2,"CVCCV","f","CV","fricative",5,3,"obstruent"
"furia","avere_LVC","stative","fu.rja",5,2,"CVCCV","f","CV","fricative",5,3,"obstruent"
"furia","parasynthesis_si","inchoative","fu.rja",5,2,"CVCCV","f","CV","fricative",5,3,"obstruent"
"gaudio","dare_LVC","causative","Gaw.djo",6,2,"CVCCCV","G","CVC","plosive",7,3,"obstruent"
"gioia","provare_LVC","stative","gO.ja",4,2,"CVCV","g","CV","affricate",6,3,"obstruent"
"gioia","dare_LVC","causative","gO.ja",4,2,"CVCV","g","CV","affricate",6,3,"obstruent"
"gioia","mettere_LVC","causative","gO.ja",4,2,"CVCV","g","CV","affricate",6,3,"obstruent"
"gioia","conversion_stat","stative","gO.ja",4,2,"CVCV","g","CV","affricate",6,3,"obstruent"
"gioia","avere_LVC","stative","gO.ja",4,2,"CVCV","g","CV","affricate",6,3,"obstruent"
"gioia","sentire_LVC","stative","gO.ja",4,2,"CVCV","g","CV","affricate",6,3,"obstruent"
"impazienza","conversion_caus","causative","im.paz.zjEn.za",11,4,"VCCVGGCVCCV","i","VC","vowel",1,1,"vowel"
"impazienza","conversion_si","inchoative","im.paz.zjEn.za",11,4,"VCCVGGCVCCV","i","VC","vowel",1,1,"vowel"
"impressione","conversion_caus","causative","im.pres.sjo.ne",11,4,"VCCCVGGCVCV","i","VC","vowel",1,1,"vowel"
"impressione","dare_LVC","causative","im.pres.sjo.ne",11,4,"VCCCVGGCVCV","i","VC","vowel",1,1,"vowel"
"impressione","fare_LVC","causative","im.pres.sjo.ne",11,4,"VCCCVGGCVCV","i","VC","vowel",1,1,"vowel"
"impressione","conversion_si","inchoative","im.pres.sjo.ne",11,4,"VCCCVGGCVCV","i","VC","vowel",1,1,"vowel"
"impressione","avere_LVC","stative","im.pres.sjo.ne",11,4,"VCCCVGGCVCV","i","VC","vowel",1,1,"vowel"
"indifferenza","provare_LVC","stative","in.dif.fe.rEn.za",12,5,"VCCVGGVCVCCV","i","VC","vowel",1,1,"vowel"
"inquietudine","provare_LVC","stative","in.kwje.tu.di.ne",12,5,"VCCCCVCVCVCV","i","VC","vowel",1,1,"vowel"
"inquietudine","dare_LVC","causative","in.kwje.tu.di.ne",12,5,"VCCCCVCVCVCV","i","VC","vowel",1,1,"vowel"
"inquietudine","mettere_LVC","causative","in.kwje.tu.di.ne",12,5,"VCCCCVCVCVCV","i","VC","vowel",1,1,"vowel"
"interesse","prendere_LVC","inchoative","in.te.rEs.se",9,4,"VCCVCVGGV","i","VC","vowel",1,1,"vowel"
"interesse","avere_LVC","stative","in.te.rEs.se",9,4,"VCCVCVGGV","i","VC","vowel",1,1,"vowel"
"interesse","conversion_si_stat","stative","in.te.rEs.se",9,4,"VCCVCVGGV","i","VC","vowel",1,1,"vowel"
"interesse","conversion_caus","causative","in.te.rEs.se",9,4,"VCCVCVGGV","i","VC","vowel",1,1,"vowel"
"interesse","conversion_si","inchoative","in.te.rEs.se",9,4,"VCCVCVGGV","i","VC","vowel",1,1,"vowel"
"interesse","provare_LVC","stative","in.te.rEs.se",9,4,"VCCVCVGGV","i","VC","vowel",1,1,"vowel"
"invidia","fare_LVC","causative","in.vi.dja",7,3,"VCCVCCV","i","VC","vowel",1,1,"vowel"
"invidia","conversion_stat","stative","in.vi.dja",7,3,"VCCVCCV","i","VC","vowel",1,1,"vowel"
"invidia","provare_LVC","stative","in.vi.dja",7,3,"VCCVCCV","i","VC","vowel",1,1,"vowel"
"invidia","avere_LVC","stative","in.vi.dja",7,3,"VCCVCCV","i","VC","vowel",1,1,"vowel"
"ira","parasynthesis_caus","causative","i.ra",3,2,"VCV","i","V","vowel",1,1,"vowel"
"ira","parasynthesis_si","inchoative","i.ra",3,2,"VCV","i","V","vowel",1,1,"vowel"
"letizia","avere_LVC","stative","le.tiz.zja",8,3,"CVCVGGCV","l","CV","liquid",3,2,"sonorant"
"letizia","dare_LVC","causative","le.tiz.zja",8,3,"CVCVGGCV","l","CV","liquid",3,2,"sonorant"
"letizia","conversion_stat","stative","le.tiz.zja",8,3,"CVCVGGCV","l","CV","liquid",3,2,"sonorant"
"malinconia","dare_LVC","causative","ma.lin.ko.ni.a",10,5,"CVCVCCVCVV","m","CV","nasal",4,2,"sonorant"
"malinconia","parasynthesis_caus","causative","ma.lin.ko.ni.a",10,5,"CVCVCCVCVV","m","CV","nasal",4,2,"sonorant"
"malinconia","fare_LVC","causative","ma.lin.ko.ni.a",10,5,"CVCVCCVCVV","m","CV","nasal",4,2,"sonorant"
"malinconia","mettere_LVC","causative","ma.lin.ko.ni.a",10,5,"CVCVCCVCVV","m","CV","nasal",4,2,"sonorant"
"malinconia","parasynthesis_si","inchoative","ma.lin.ko.ni.a",10,5,"CVCVCCVCVV","m","CV","nasal",4,2,"sonorant"
"malinconia","provare_LVC","stative","ma.lin.ko.ni.a",10,5,"CVCVCCVCVV","m","CV","nasal",4,2,"sonorant"
"meraviglia","conversion_si","inchoative","me.ra.viL.La",9,4,"CVCVCVGGV","m","CV","nasal",4,2,"sonorant"
"meraviglia","fare_LVC","causative","me.ra.viL.La",9,4,"CVCVCVGGV","m","CV","nasal",4,2,"sonorant"
"meraviglia","provare_LVC","stative","me.ra.viL.La",9,4,"CVCVCVGGV","m","CV","nasal",4,2,"sonorant"
"meraviglia","conversion_caus","causative","me.ra.viL.La",9,4,"CVCVCVGGV","m","CV","nasal",4,2,"sonorant"
"nausea","dare_LVC","causative","naw.se.a",6,3,"CVCCVV","n","CVC","nasal",4,2,"sonorant"
"nausea","avere_LVC","stative","naw.se.a",6,3,"CVCCVV","n","CVC","nasal",4,2,"sonorant"
"nausea","conversion_caus","causative","naw.se.a",6,3,"CVCCVV","n","CVC","nasal",4,2,"sonorant"
"nausea","fare_LVC","causative","naw.se.a",6,3,"CVCCVV","n","CVC","nasal",4,2,"sonorant"
"nausea","provare_LVC","stative","naw.se.a",6,3,"CVCCVV","n","CVC","nasal",4,2,"sonorant"
"nausea","sentire_LVC","stative","naw.se.a",6,3,"CVCCVV","n","CVC","nasal",4,2,"sonorant"
"nausea","conversion_si","inchoative","naw.se.a",6,3,"CVCCVV","n","CVC","nasal",4,2,"sonorant"
"noia","dare_LVC","causative","nO.ja",4,2,"CVCV","n","CV","nasal",4,2,"sonorant"
"noia","provare_LVC","stative","nO.ja",4,2,"CVCV","n","CV","nasal",4,2,"sonorant"
"noia","parasynthesis_caus","causative","nO.ja",4,2,"CVCV","n","CV","nasal",4,2,"sonorant"
"noia","parasynthesis_si_stat","stative","nO.ja",4,2,"CVCV","n","CV","nasal",4,2,"sonorant"
"nostalgia","avere_LVC","stative","nos.tal.gi.a",9,4,"CVCCVCCVV","n","CVC","nasal",4,2,"sonorant"
"nostalgia","sentire_LVC","stative","nos.tal.gi.a",9,4,"CVCCVCCVV","n","CVC","nasal",4,2,"sonorant"
"nostalgia","fare_LVC","causative","nos.tal.gi.a",9,4,"CVCCVCCVV","n","CVC","nasal",4,2,"sonorant"
"nostalgia","mettere_LVC","causative","nos.tal.gi.a",9,4,"CVCCVCCVV","n","CVC","nasal",4,2,"sonorant"
"nostalgia","provare_LVC","stative","nos.tal.gi.a",9,4,"CVCCVCCVV","n","CVC","nasal",4,2,"sonorant"
"odio","provare_LVC","stative","O.djo",4,2,"VCCV","O","V","vowel",1,1,"vowel"
"odio","conversion_stat","stative","O.djo",4,2,"VCCV","O","V","vowel",1,1,"vowel"
"odio","sentire_LVC","stative","O.djo",4,2,"VCCV","O","V","vowel",1,1,"vowel"
"odio","avere_LVC","stative","O.djo",4,2,"VCCV","O","V","vowel",1,1,"vowel"
"orgoglio","dare_LVC","causative","or.GoL.Lo",7,3,"VCCVGGV","o","VC","vowel",1,1,"vowel"
"orgoglio","parasynthesis_si","inchoative","or.GoL.Lo",7,3,"VCCVGGV","o","VC","vowel",1,1,"vowel"
"orgoglio","avere_LVC","stative","or.GoL.Lo",7,3,"VCCVGGV","o","VC","vowel",1,1,"vowel"
"orgoglio","parasynthesis_caus","causative","or.GoL.Lo",7,3,"VCCVGGV","o","VC","vowel",1,1,"vowel"
"orgoglio","provare_LVC","stative","or.GoL.Lo",7,3,"VCCVGGV","o","VC","vowel",1,1,"vowel"
"orrore","mettere_LVC","causative","or.ro.re",6,3,"VGGVCV","o","VG","vowel",1,1,"vowel"
"orrore","avere_LVC","stative","or.ro.re",6,3,"VGGVCV","o","VG","vowel",1,1,"vowel"
"orrore","fare_LVC","causative","or.ro.re",6,3,"VGGVCV","o","VG","vowel",1,1,"vowel"
"orrore","sentire_LVC","stative","or.ro.re",6,3,"VGGVCV","o","VG","vowel",1,1,"vowel"
"orrore","provare_LVC","stative","or.ro.re",6,3,"VGGVCV","o","VG","vowel",1,1,"vowel"
"panico","conversion_si","inchoative","pa.ni.ko",6,3,"CVCVCV","p","CV","plosive",7,3,"obstruent"
"panico","andare_in_LVC","inchoative","pa.ni.ko",6,3,"CVCVCV","p","CV","plosive",7,3,"obstruent"
"panico","provare_LVC","stative","pa.ni.ko",6,3,"CVCVCV","p","CV","plosive",7,3,"obstruent"
"panico","essere_in_LVC","stative","pa.ni.ko",6,3,"CVCVCV","p","CV","plosive",7,3,"obstruent"
"paranoia","conversion_caus","causative","pa.ra.nO.ja",8,4,"CVCVCVCV","p","CV","plosive",7,3,"obstruent"
"paranoia","parasynthesis_si","inchoative","pa.ra.nO.ja",8,4,"CVCVCVCV","p","CV","plosive",7,3,"obstruent"
"paranoia","andare_in_LVC","inchoative","pa.ra.nO.ja",8,4,"CVCVCVCV","p","CV","plosive",7,3,"obstruent"
"paranoia","avere_LVC","stative","pa.ra.nO.ja",8,4,"CVCVCVCV","p","CV","plosive",7,3,"obstruent"
"paranoia","essere_in_LVC","stative","pa.ra.nO.ja",8,4,"CVCVCVCV","p","CV","plosive",7,3,"obstruent"
"passione","provare_LVC","stative","pas.sjo.ne",8,3,"CVGGCVCV","p","CVG","plosive",7,3,"obstruent"
"passione","avere_LVC","stative","pas.sjo.ne",8,3,"CVGGCVCV","p","CVG","plosive",7,3,"obstruent"
"passione","parasynthesis_caus","causative","pas.sjo.ne",8,3,"CVGGCVCV","p","CVG","plosive",7,3,"obstruent"
"passione","parasynthesis_si","inchoative","pas.sjo.ne",8,3,"CVGGCVCV","p","CVG","plosive",7,3,"obstruent"
"passione","sentire_LVC","stative","pas.sjo.ne",8,3,"CVGGCVCV","p","CVG","plosive",7,3,"obstruent"
"paura","dare_LVC","causative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","mettere_LVC","causative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","provare_LVC","stative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","fare_LVC","causative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","parasynthesis_caus","causative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","avere_LVC","stative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","sentire_LVC","stative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","mettersi_LVC","inchoative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","prendere_LVC","inchoative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"paura","parasynthesis_si","inchoative","pa.u.ra",5,3,"CVVCV","p","CV","plosive",7,3,"obstruent"
"pena","prendere_LVC","inchoative","pe.na",4,2,"CVCV","p","CV","plosive",7,3,"obstruent"
"pena","provare_LVC","stative","pe.na",4,2,"CVCV","p","CV","plosive",7,3,"obstruent"
"pena","sentire_LVC","stative","pe.na",4,2,"CVCV","p","CV","plosive",7,3,"obstruent"
"pena","conversion_stat","stative","pe.na",4,2,"CVCV","p","CV","plosive",7,3,"obstruent"
"pena","fare_LVC","causative","pe.na",4,2,"CVCV","p","CV","plosive",7,3,"obstruent"
"pena","avere_LVC","stative","pe.na",4,2,"CVCV","p","CV","plosive",7,3,"obstruent"
"pena","essere_in_LVC","stative","pe.na",4,2,"CVCV","p","CV","plosive",7,3,"obstruent"
"pena","dare_LVC","causative","pe.na",4,2,"CVCV","p","CV","plosive",7,3,"obstruent"
"pietà","avere_LVC","stative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pietà","fare_LVC","causative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pietà","provare_LVC","stative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pietà","sentire_LVC","stative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rabbia","mettere_LVC","causative","rab.bja",6,2,"CVGGCV","r","CVG","liquid",3,2,"sonorant"
"rabbia","avere_LVC","stative","rab.bja",6,2,"CVGGCV","r","CVG","liquid",3,2,"sonorant"
"rabbia","fare_LVC","causative","rab.bja",6,2,"CVGGCV","r","CVG","liquid",3,2,"sonorant"
"rabbia","parasynthesis_si","inchoative","rab.bja",6,2,"CVGGCV","r","CVG","liquid",3,2,"sonorant"
"rabbia","provare_LVC","stative","rab.bja",6,2,"CVGGCV","r","CVG","liquid",3,2,"sonorant"
"rabbia","sentire_LVC","stative","rab.bja",6,2,"CVGGCV","r","CVG","liquid",3,2,"sonorant"
"rancore","avere_LVC","stative","ran.ko.re",7,3,"CVCCVCV","r","CVC","liquid",3,2,"sonorant"
"rancore","provare_LVC","stative","ran.ko.re",7,3,"CVCCVCV","r","CVC","liquid",3,2,"sonorant"
"ribrezzo","fare_LVC","causative","ri.breZ.Zo",8,3,"CVCCVGGV","r","CV","liquid",3,2,"sonorant"
"ribrezzo","provare_LVC","stative","ri.breZ.Zo",8,3,"CVCCVGGV","r","CV","liquid",3,2,"sonorant"
"rimorso","sentire_LVC","stative","ri.mOr.so",7,3,"CVCVCCV","r","CV","liquid",3,2,"sonorant"
"rimorso","avere_LVC","stative","ri.mOr.so",7,3,"CVCVCCV","r","CV","liquid",3,2,"sonorant"
"rimorso","provare_LVC","stative","ri.mOr.so",7,3,"CVCVCCV","r","CV","liquid",3,2,"sonorant"
"schifo","conversion_caus","causative","ski.fo",5,2,"CCVCV","s","CCV","fricative",5,3,"obstruent"
"schifo","conversion_stat","stative","ski.fo",5,2,"CCVCV","s","CCV","fricative",5,3,"obstruent"
"schifo","fare_LVC","causative","ski.fo",5,2,"CCVCV","s","CCV","fricative",5,3,"obstruent"
"schifo","provare_LVC","stative","ski.fo",5,2,"CCVCV","s","CCV","fricative",5,3,"obstruent"
"schifo","avere_LVC","stative","ski.fo",5,2,"CCVCV","s","CCV","fricative",5,3,"obstruent"
"shock","conversion_caus","causative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"simpatia","fare_LVC","causative","sim.pa.ti.a",8,4,"CVCCVCVV","s","CVC","fricative",5,3,"obstruent"
"simpatia","suffixation_stat","stative","sim.pa.ti.a",8,4,"CVCCVCVV","s","CVC","fricative",5,3,"obstruent"
"simpatia","provare_LVC","stative","sim.pa.ti.a",8,4,"CVCCVCVV","s","CVC","fricative",5,3,"obstruent"
"simpatia","avere_LVC","stative","sim.pa.ti.a",8,4,"CVCCVCVV","s","CVC","fricative",5,3,"obstruent"
"simpatia","sentire_LVC","stative","sim.pa.ti.a",8,4,"CVCCVCVV","s","CVC","fricative",5,3,"obstruent"
"soggezione","avere_LVC","stative","sog.gez.zjo.ne",11,4,"CVGGVGGCVCV","s","CVG","fricative",5,3,"obstruent"
"soggezione","dare_LVC","causative","sog.gez.zjo.ne",11,4,"CVGGVGGCVCV","s","CVG","fricative",5,3,"obstruent"
